artist,song_title,lyrics
MC Kevin,"Cartel do 900 (part. MC Ig, MC Rick, MC Menor da Vg, MC Hariel e MC Don Juan)","[mc kevin, mc rick & mc hariel]\nuau\no-oi, oi\n900 no beat\n900, ei\n[mc kevin]\ne ela\né tipo aquelas mulher brasileira que o pablo exportava\né tipo aquelas que eu só via numa série\ndo netflix, te faço convite pra vim hoje em casa\nassistir netflix e pipoca na cama do kevin\nque tá uma loucura, penso no seu olhar\nvejo sua postura, tô querendo te arrumar\ncê tá uma bagunça, deixa eu te arrumar\nde novo bagunçar, machucar sua coluna\nela fuma a porra da minha droga\nela toma a porra da laba\nfica louca e pra mim se joga\neu tô louco querendo pegar\nexperiente, oferece a proposta\npassa a conta pra eu depositar\nvê se lança um vestido da hora\numa calcinha nova pra mim arrancar\nela com esse corpinho lindo que deus fez\ntá fazendo eu enxergar paixão de novo\ncomo se fosse a minha primeira vez\ncoração que tava no fundo do poço\nela com esse corpinho lindo que deus fez\ntá fazendo eu enxergar paixão de novo\ncomo se fosse a minha primeira vez\ncoração que tava no fundo do poço\nmas a vida é assim\ncheia de surpresas e energias, porra, joga as carta na mesa\nela não presta, é fato, mas é verdadeira\nsem notícias boas, minhas notícias são as mesmas\nque tá uma loucura, penso no seu olhar\nvejo sua postura, tô querendo te arrumar\ncê tá uma bagunça, deixa eu te arrumar\nde novo bagunçar, machucar sua coluna\nela com esse corpinho lindo que deus fez\ntá fazendo eu enxergar paixão de novo\ncomo se fosse a minha primeira vez\ncoração que tava no fundo do poço\n[mc ig]\nbrisa do mar\nse eu tô com ela acendo aquele kennedy pra relaxar\nvem se soltar\nsua sensualidade de verdade deixa eu duro de lembrar\ngata, eu sou o ig\nhoje eu vim com um jeep do pablo escobar\nsó pra te buscar\nbigodin tá chique, de lacoste e doze mola do neymar\ndo neymar, after se pá\ne o kevin já disse\nque as bitch vão querer te invejar\nmas em vão\ntrezentos por minuto\nnosso crossfit é transar, transar, transar\né melhor deixar pra lá\npiloto automático minha porsche, minha vida tá, yeah\nsua amiga vai mudar a plata ou plomo, comi, somo, sumo e como\ne nem precisa se estressar\nnunca foi, mas tu vai lá\nna favela que eu vou te apresentar\nmiliduque fica lindo pra voar\nbrisa do mar\nse eu tô com ela acendo aquele kennedy pra relaxar\nvem se soltar\nsua sensualidade de verdade deixa eu duro de lembrar, yeah, yeah\n[mc rick]\nela quer vim pra minha casa, hoje ela tá querendo\nnão vai brotar se não trazer uma pro 900\nte pego subindo, te pego descendo\nminha piroca na sua vida é seu maior tormento\nte pego subindo, te pego descendo\nminha piroca na sua vida é seu maior tormento\no bonde é só moleque bom, só bandido sinistro\ncê se inspira na rihanna e nós no el pablito\nvem sentar um poquito, vem fumar um finito\nna minha base, na minha cama te pego sinistro\nvem sentar um poquito, vem fumar um finito\nna minha base, na minha cama te pego sinistro\n[mc menor da vg]\nela vem sentando no malote\nsabe que o papai pode bancar\ntipo silvio santos, conta forte\nperigoso igual pablo escobar\nela vem de medellín, ela vem sentar pra mim\ne eu gosto disso, vou até o fim, vou botar tudin'\nperigoso ela se apaixonar\nnão vou dar uma atenção, não posso, sou tipo cachorrão\nela me olha e vê, comigo ela quer ficar\nsabe que eu posso morrer, sabe que eu posso matar\ntá até difícil me ver, sabe, é fácil eu te encontrar\nsabe que é só eu querer, sabe que é só eu chamar\nela vem sentando no malote\nsabe que o papai pode bancar\ntipo silvio santos, conta forte\nperigoso igual pablo escobar\n[mc hariel]\nbate o fio, liga nóis, qualquer coisa, pela ordem\nque os menor não faz acerto, escorregou, a bala come\nvendedores de produtos que não se encontra em qualquer lugar\nabsorvendo lucros que o leão não pode rastrear\né fila de noia querendo comprar\nalto teor de criatividade, pode entorpecer sem te prejudicar\narmamento de guerra nós joga pra ela\npostar uma fotinha com o fura do ak\nobturando inimigo, ganha o dinheiro, perde o juízo\nbala voando no copo da louca\ne daqueles que não tá fechado comigo\nrola e punch voa, são várias história\nde quem quis bater de frente, mas não teve glória\nessa corinthiana não erra na reta\njesus cristo protegendo nas costas\ntodo dia nós travando uma guerra\nsorte que nós não conhece a derrota\nrola e punch voa, são várias história\nde quem quis bater de frente, mas não teve glória\nessa corinthiana não erra na reta\njesus cristo protegendo nas costas\ntodo dia nós travando uma guerra\nsorte que nós não conhece a derrota\n[mc don juan]\nmontei meu time, cartel tá montado\nconheço cada um, não tem essa de convidado\nda ponte pra cá, sp, zona sul, brasil\nna mala que era de tênis tô portando um fuzil\nque derruba safado, dá fim nos talarico\ne pedófilo comédia, nós não aceita isso\nse hoje cê anda tranquilo sem ser roubado\nfoi nós que passou a visão, se é na favela, é cobrado\nse hoje anda tranquilo sem ser roubado\nfoi nós que passou a visão, se é na favela, é cobrado\num pelo outro, certo pelo certo\npra molecada que tá vindo é foco nos progresso\num pelo outro, certo pelo certo\npra molecada que tá vindo foca que vai dar certo\num pelo outro, certo pelo certo\npra molecada que tá vindo é foco nos progresso\num pelo outro, certo pelo certo\npra molecada que tá vindo foca que vai dar certo\n[mc rick, mc don juan & mc hariel]\no-oi, oi\n900 no beat\ne aê, 900?\n900, ei\n"
MC Kevin,Junção Venenosa (part. MC Hariel),"ê, ê, ê, luan beat 7, lt\nde nova bm pela orla\nhoje ela que toca, hoje eu vou só de passageiro\nse até o melhor dessa vida uma hora acaba\npodemo' dizer que aproveitamo' pelo menos\no tempo do relógio é o que tem mais de precioso\nrolex, patek, é só um item luxuoso\njá passei veneno, hoje eu que tô venenoso\nquem queria mal, hoje vai passar nervoso\ncrocodilo memo é só na estampa do boné\npilantra covarde eu quero embaixo do meu pé\ntabuleiro nós derruba com atitude e fé\nuns quer se crescer e se achar maior que é\npois é, hipocrisia e simpatia é uma junção venenosa\ncê não imagina quantos que sorri querendo te apunhalar\nfalsidade no dia a dia é a mais perigosa\njudas enrustido, sanguessuga vai tombar\npois é, hipocrisia e simpatia é uma junção venenosa\ncê não imagina quantos que sorri querendo te apunhalar\nfalsidade no dia a dia é a mais perigosa\njudas enrustido, sanguessuga vai tombar\nte lembrar que na antiga\nvolta meu passado, liga a máquina do tempo\nela nem ligava, já me esculachava\nhoje eu esculacho o novo jaguar do momento\nnão tá no meu dia a dia\nporque no passado eu fiquei no sofrimento\nhoje eu quero as top, só gringa selecionada\ntô de s1000 da bm, cortando o vento\num tapa na bunda das puta pra deixar marca\nbala no recalque, eu quero ver o sangue escorrendo\nvolta no passado, traficante da quebrada\nmeu presente: tô traficando meu sentimento\nvai, barata tonta, passa pra eu dar uma pisada\njá tá na hora, audemars piguet tá girando\ninvejoso não passa na frente da minha casa\nrecalcado pra minha vida não fica gansando\nnem que eu conseguir passar por cima do sistema\ne ver uns filha da puta dos pobre 'rancando grana\nbolsonaro tira mais um prato de comida\npropagando ódio, tira o sonho da criança\natravessar a ponte foi um sonho de infância\natrás do meu sonho, eu sei que deus está comigo\nhoje eu tô lacrado de lacoste e polo branca\ndo lado só os verdadeiro amigo\npois é, hipocrisia e simpatia é uma junção venenosa\ncê não imagina quantos que sorri querendo te apunhalar\nfalsidade no dia a dia é a mais perigosa\njudas enrustido, sanguessuga vai tombar\npois é, hipocrisia e simpatia é uma junção venenosa\ncê não imagina quantos que sorri querendo te apunhalar\nfalsidade no dia a dia é a mais perigosa\njudas enrustido, sanguessuga vai tombar\n"
MC Kevin,4M Vibes (part. MC IG),"porque elas pousa no elenco todo\nó nós aê de novo\n4m nato, caçador de tesouro\npra começar no naipe, salve as comunidade\nsó um relato de um criolo chave de verdade\nmó rico de vontade, várias etapas, fases\nconsciente, se estende, 4m vibe\nquer saber como é que é? quer sabe?\nquem sabe? humildade no caminho é fato\ntô no jet com o tal do cavalo\nbate e volta todo mal olhado\nse eu tô com a loira e a morena chaveado\ne patricinha adora e nos maloka se amarrou\ntava sem sal com os playboy, com os maloqueiro fechou\npatricinha adora e nos maloka se amarrou\ntava sem sal com os playboy, com os maloqueiro fechou\nporque elas pousa no elenco todo\nó nós aê de novo\n4m nato, caçador de tesouro\nporza no elenco todo\nó nós aê de novo\n4m nato, caçador de tesouro\n4m, é claro, caçador de tesouro\n4m nato, caçador de tesouro\n4m, é claro, manda aí\nporque elas pousa no elenco todo\nó nós aê de novo\n4m nato, caçador de tesouro\n"
MC Kevin,"Set Dos Casados (part. Davi, Hariel, Don Juan, Kapela, Marks, Ryan SP, Gaab, G15 e Menor da VG)","[mc kevin & mc davi]\nesquece, família, no meu casamento hoje, hein?\nsem arrastar, hein? esquece\nperera e o veiga, hah, hah, hah\ncola geral, vem que é casamento do pai, né? isso que é foda\n[mc davi]\ncomo faz show de cabeça quente\ncê me pede fendi, em casa me ofende\nsua mãe me defende, mexeu com a minha mente\neu fiquei carentе, foi me abandonar\nagora eu vivo a vida diferеnte, quarenta mil nos dentes\nse eu trombar de frente, eu digo infelizmente\neu tô fortemente, o pai tá forte só pra revoar\nacho que eu casei com a mulher gato\nela me arranha, anda de salto alto\nela se assanha, ainda mexe o rabo\nquer devorar as piranha e quer matar os rato\nfudeu, fudeu, fudeu, fudeu\neu fui dar perdido com os amigo' e a cunhada apareceu\nfudeu, fudeu, fudeu, fudeu\neu fui dar perdido com os amigo', ei, e a cunhada apareceu\n[mc kevin]\njá que o amor e o ódio vive de um lado do outro\nna mesma intensidade que eu te amo do nada eu amo todas\ncheio de lobo-guará no bolso\nela é rica, não liga, também vai pro seu lado\ne eu vou pro scandallo, escritório dos casados\nmensagem no insta' me xingando de otário\ntoda nervosinha, foi parar lá na palazzo\ntoda patricinha tem seu camarote\nbolsa da louis vuitton, tá cheia de grana\nde cabeça quente, pede mais um shot\npra me provocar tá com suas amiga' mais piranha\nolha o coringa apaixonado pela arlequina, eu e ela armado\no batman se irrita, o pai dela é bravo\ne usa uma capa, tenta me passar como errado\ncomo assim? eu de novecentas acelerado\ndaquela vermelha, dos vidro' lacrado\nolha as maravilha' enchendo o meu saco\nfoi lá na regente que ela achou meu carro\nfudeu, fudeu, fudeu, fudeu\neu fui dar perdido com os amigo' e a cunhada apareceu, na minha despedida\nfudeu, fudeu, fudeu, fudeu, fudeu\neu fui dar perdido com os amigo' e na minha despedida a cunhada apareceu\n[mc don juan]\nei, meus amigo' é louco, tudo mentiroso\ndisse pra mim que era só um jantar\nnem tinha comida, era um bar\nse a fiel descobrir, vai moiar, vai moiar\nô, mozão, 'tava já pra ir embora\nquando fui ver eu já 'tava no baile\nquando olhei pro lado, tinha várias piranha\nela me agride se eu falar gostosa\nela me agride se eu falar gostosa\nela me agride- (ah-ah-ah)\no pior que amanhã não vou lembrar de nada\nsó minhas roupa' rasgada\na miliduque no chão\ne eu dormindo na sala, e eu dormindo na sala\no pior que amanhã não vou lembrar de nada\nsó minhas roupa' rasgada, hã\na miliduque no chão\ne eu dormindo na sala\n[mc kapela]\npra quê que eu vou trair a minha mina\nse ela fecha comigo de uns dia'?\neu não vou marcar touca, eu não fico de touca\nnão entrei na sua vida pra fazer papel de trouxa\ncê sabe que as mina' chama no pv\nmas eu que não posso errar\ntem a senha do meu celular, se quiser, pode olhar\neu não dou sorte pro azar\naprendi pelo amor, não pela dor\nnão tô nessa de botar toda bebê\ne eu não vou trocar uma história de amor\npor uma noite fútil de prazer\na beleza na mulher sem juízo\né como uma joia de ouro no focinho de um porco\nnão seja tolo, não faz papel de bobo\nnão vou trocar a festa por um pedaço de bolo\ne mesmo mantendo a disciplina\nmesmo respeitando a de fé\ne relacionamento sem ciúmes e sem briga\né um relacionamento sem mulher\nfudeu, fudeu, fudeu, fudeu\ndo nada você acorda brava e fala que eu te traí num sonho seu\nfudeu, fudeu, fudeu\nmenstruação atrasada, já faz quase um mês, ainda não desceu\nfudeu, fudeu\n[mc hariel]\nperera, passa a visão\nque a perdição tá em forma de mulher na pista\njá fizeram a confusão e eu pensei que era casamento\nisso daqui tá mais pra despedida, olha lá\nposicionamento por mim nunca vai faltar\nque a fiel tá no baile, ela conhece a peça\nquieto no meu canto, assopro a fumaça pro ar\npra não me render motivo pra acabar com a minha festa\ne já rendi perreco até sem ter conversa\nmas é set dos casados então já fique alerta\neu tô com a minha de fé não importa por onde\nas outras nóis respeita e sempre desconversa\ne fudeu, fudeu, fudeu, fudeu\nfui dar um pião com os meus amigos, minha mulher apareceu\nfudeu, fudeu, fudeu, fudeu\nfui dar um pião com os meus amigos e minha mulher apareceu\n[mc marks]\nminha de fé, planos juntados, o amor tá selado\na partir de hoje nós somos um só\nquem diria eu que amava a rua, hoje me vejo bem melhor\nsó que tem dias que eu fico exausto\nvou me cansando da louca rotina\nde repente me jogo pro mundão\ntomo umas doses e esqueço da vida\nela me liga, me liga, me liga\neu não atendo, finjo não tô vendo\njá são três horas e eu não tô em casa\ndessa eu não passo, tô até prevendo\nela me liga, me liga, me liga\neu não atendo, finjo não tô vendo\njá são três horas e eu não tô em casa\ndessa eu não passo, tô até prevendo\n[mc g15]\né que as minas são amigas\nnão pode vacilar com o celular\nse não elas pode descolar a fotinha\nna casa do ryan na revoada\ndeixa as donas curtir, deixa as cunhada tranquila\ndeixa as donas de boa, se não essa porra pode dar briga, fudeu\n[mc phe cachorrera]\ntá tudo diferente, quem diria o kevin vira gente\ndavizeira tá no mó postura e o g15 mantendo a conduta\nquem diria que não ia casar, hoje em dia o bambolê destaca\npra completar as cunhada é bravona\nligeira nas morena que atraca\ne uma e meia o don juan me liga\nfalou: truta, você não acredita\nkevin de casamento marcado, largou a vida louca de artista\ntubarão tá na linha e falou que vai ter despedida\ntubarão tá na linha e falou que vai ter despedida, despedida\n[gaab]\nos moleque cheio de mulher, cheio de mulher, cheio de mulher\ntô de boa com a minha de fé, com a minha de fé, com a minha de fé\no kevin e o hari chamou despedida\no foda é nossas mina hoje é tudo amiga\nimagina se eu falar que tô com o don juan\nimagina se eu falar que eu tô com o ryan\nveio até o phe com o davi, até o g15 e o marks tá aí\no pereira com o menor da vg, mas te juro eu mudei\nnão que eu só queria ganhar, eu cansei de perder\npro meu próprio prazer, hê ê\né ela que manda, é ela que manda\nnão que eu só queria ganhar, eu cansei de perder\npro meu próprio prazer, hê ê\né ela que manda, é ela que manda\nlarararara, só pra mim particular\nlarararara, nadadadada\nlarararara (larararara), só pra mim particular (só pra mim)\nlarararara (larararara), nadadadada, vem\n[mc menor da vg]\nnão é interesseira, é interessante\ntá comigo desde antes, minha fiel, minha amante\nnão quero te ver distante\nela é um diamante, transformou a vida do meliante\nagora eu tô correto, quero você bem por perto\nminha morena, minha princesa, eu te prometo\nque não te deixo mais, pra depois, pra depois\ndaqui pra frente, é só a gente, futuro e presente\né, só nós dois\nbolei um pra fumar com a princesa\nnós vai no giro louco certeza\npasseio de velar, beira mar\nforradão de dólar na carteira\nnós dois de netflix, cerveja\num bolo sempre de sobremesa\nnós é tipo paris e helena, um casal de filme de cinema\nbolei um pra fumar com a princesa\nnós vai no giro louco certeza\npasseio de velar, beira mar\nforradão de dólar na carteira\nnóis dois de netflix, cerveja\num bolo sempre de sobremesa\nnóis é tipo paris e helena, um casal de filme de cinema\n[mc ryan sp]\noh oh, ninguém mandou me chamar, hahaha\neu pelos bololô, sigo com coração partido\npelas revoadas no embalo da solidão\njá me envolvi com alguém que brincou comigo\npor isso eu tenho medo dessa tal de relação\nhoje recebi até um convite do perera\nque era pra encostar, mas é pra ir na disciplina\nlá só tem casado, é casamento de um amigo\né sem revoada e sem essa de festa e mina\neu boto o pop smoke, e balmain só pra não enjoar\nvou com o terno mais caro que o kevin vai casar\nsou o único solteiro que chegou pra apadrinhar\ne o único solteiro que vai fazer a despedida\ntem que ter cuidado com a mulher do davi\nque anda com a quadrada e tá sempre engatilhada\no foda é que as cunhada já não gosta de mim\nque sabe que eu arrasto os casado pra revoada\nse o plano der certo, é o plano da história\nvai render manchete nas páginas e piada\ngordin bololô fez um sequestro numa festa\ne levou todos casados pra revoada\nfudeu, fudeu, fudeu, fudeu\neu fui dar perdido com os casado', hah, as cunhada' apareceu\nfudeu, fudeu, fudeu, fudeu\neu fui dar perdido com os quebrada, hah, e as cunhada' apareceu\nacho que moiou pro tubarão, eu só acho, hahaha\n"
MC Kevin,Doutora 2,"tudo ok, vem, meu bem, vamo ali\né que essa noite eu te levo pra dançar\nentão bota a melhor roupa\num rosa na boca\nse bem que nem vai precisar\nmistura aquilo ali\ncom um pouco disso aqui\nte ofereço bem mais que um drink\nsó rebola pra mim, só rebola pra mim\nmas que danada\npassa jogando na minha cara\nsabe que eu dou condição\nvila ede, cria da quebrada\ne ela do apê, do anália \ndoutora de requinte padrão \nsabe de nada\njeito que ela parou a quebrada\nno toque da evoque sem teto\nde óculos da burberry, blaze preto\nachando eu suspeito\nprendeu o cara certo\ntodas as fotos do insta mereceu meus cliques\nna maioria percebi que tava de versace\nde presente, toma aqui uma sandália da gucci\npra passada da minha gata ficar mais suave\n5g na blunt dentro de uma lamborghini\nfaz fumaça tipo frozen, fica a vontade\nchega no condomínio, te faço um drink\ne no quarto disputamos quem tem mais maldade\nela é linda e perigosa\nsabe que sou o coringa desse seu baralho\nte ofereço uma rosa\nsou romeu, minha julieta fica do meu lado\nse eu partir, jura que volta\né problema você longe eu me sinto fraco\njá te ligo fica pronta\nque já já te ligo, yeeh yeeh\ntudo ok, vem, meu bem, vamo ali\né que essa noite eu te levo pra dançar\nentão bota a melhor roupa\num rosa na boca\nse bem que nem vai precisar\nmistura aquilo ali\ncom um pouco disso aqui\nte ofereço bem mais que um drink\nsó rebola pra mim, só rebola pra mim\nmas que danada, yeah\nque o dia de amanhã\nsó pertence a deus\nnasceu pra voar no mundo\nse não tá ligando\nmuito menos eu\nmas tá doendo no fundo\ntudo ok, vem, meu bem, vamo ali\nque essa noite eu te levo pra dançar\nentão bota a melhor roupa\num rosa na boca\nse bem que nem vai precisar\nmistura aquilo ali\ncom um pouco disso aqui\nte ofereço bem mais que um drink\nsó rebola pra mim, só rebola pra mim\ndiz, que danada\njogando na minha cara\nme dando condição\ncria da quebrada\ndanada requinte patrão\n"
MC Kevin,Quando a Gente Briga (part. Gaab e Mahogany Beatz),"juro, antes de te conhecer\neu prometi não me apaixonar\na gente começou a ser envolver\njá sabia aonde ia parar\ndifícil é viver nesse mundo insano\ncomo duas pessoas diferentes se encontram?\nde lembrar o que eu passei, tô vivendo o meu sonho\nminhas mãos em um toque só pra te arrepiar\nquando a gente briga\nvocê fica mais linda, e eu\nde noite, na cama, eu dou um jeito pra gente se acertar\nque todas as brigas\nvem pra consertar o que é de deus, sou seu\naté quando o mundo acabar\nnão é sempre que eu te entendo\nver você longe, eu me sinto só\njá tentamos dar um tempo\nmas na real, só ficou pior\nvolta pra mim, tô sofrendo\na minha depressão vai aumentar\nsei que relacionamento\nbriga, xinga pra depois se amar\nquando a gente briga\nvocê fica mais linda, e eu\nde noite, na cama, eu dou um jeito pra gente se acertar\nque todas as brigas\nvem pra consertar o que é de deus, sou seu\naté quando o mundo acabar\naí, kevin\njuro, antes de te conhecer, ê\nprometi não me apaixonar\na gente começou a se envolver\njá sabia aonde ia parar\ndifícil e viver nesse mundo insano\ncomo duas pessoas diferentes se encontram?\nde lembrar o que passei, eu tô vivendo um sonho\nminhas mãos, um toque só pra te arrepiar\nquando a gente briga\nvocê fica mais linda, e eu\nde noite, na cama, eu dou um jeito pra gente se acertar\nque todas as brigas\nvem pra consertar o que é de deus, sou seu\naté quando o mundo acabar\nnão é sempre que eu te entendo\nver você longe, eu me sinto só\njá tentamos dar um tempo\nmas na real, só ficou pior\nvolta pra mim, tô sofrendo\na minha depressão vai aumentar\nsei que relacionamento\nbriga, xinga pra depois se amar\nquando a gente briga\nvocê fica mais linda, e eu\nde noite, na cama, eu dou um jeito pra gente se acertar\nque todas as brigas\nvem pra consertar o que é de deus, sou seu\naté quando o mundo acabar\nnão é sempre que eu te entendo\nver você longe, eu me sinto só\njá tentamos dar um tempo\nmas na real, só ficou pior\nvolta pra mim, tô sofrendo\na minha depressão vai aumentar\nsei que relacionamento\nbriga, xinga pra depois se amar\nbriga, xinga pra depois se amar\n"
MC Kekel,Eu Tô Zen,"eu tô zen, eu tô zen\nkekel e rd\nsolteiro, novamente eu tô zen\nsolteiro, novamente eu tô zen\nsolteiro, novamente eu tô zen\nsó quero beijar sem sentimento pra ninguém\nsolteiro, novamente eu tô zen\nsolteiro, novamente eu tô zen\nsolteiro, novamente eu tô zen\nsó quero beijar sem sentimento pra ninguém\npra causar, pra viver\npra sair, pra zoar\nde amor, sem saber\nnão tô nessa, só quero ver o jogo só rolar\nsem amar, sem perder\nsem chorar, sem sofrer\npra viver sempre bem\nsó quero pegar, só quero beijar\nsem amar ninguém\nsem amar ninguém\nsolteiro, novamente eu tô zen\nsolteiro, novamente eu tô zen\nsolteiro, novamente eu tô zen\nsó quero beijar sem sentimento pra ninguém\nsolteiro, novamente eu tô zen\nsolteiro, novamente eu tô zen\nsolteiro, novamente eu tô zen\nsó quero beijar sem sentimento pra ninguém\npra causar, pra viver\npra sair, pra zoar\nde amor, sem saber\nnão tô nessa, só quero ver o jogo só rolar\nsem amar, sem perder\nsem chorar, sem sofrer\npra viver sempre bem\nsó quero pegar, só quero beijar\nsem amar ninguém\nsem amar ninguém\nsolteiro, novamente eu tô zen\nsolteiro, novamente eu tô zen\nsolteiro, novamente eu tô zen\nsó quero beijar sem sentimento pra ninguém\nsolteiro, novamente eu tô zen\nsolteiro, novamente eu tô zen\nsolteiro, novamente eu tô zen\nsó quero beijar sem sentimento pra ninguém\n"
DJ Lucas Beat,Beat Eu Era,"beijou a boca errada, lembrou da boca certa\nentrou numa gelada, lembrou da minha coberta\nsabe esse alguém perfeito que você tanto espera?\neu era, eu era\naí você escolhe a melhor roupa\naí você arruma o seu cabelo\ne sai com aquela sua amiga louca\nque diz que o bom da vida é ser solteiro\nme diz se adiantou alguma coisa\nprocurar alívio passageiro\nbeijar umas quatro ou cinco bocas\ncom beijos que não têm gosto de beijo\naí lembrou de mim, não teve jeito\naí lembrou de mim, não teve jeito\nbeijou a boca errada, lembrou da boca certa\nentrou numa gelada, lembrou da minha coberta\nsabe esse alguém perfeito que você tanto espera?\neu era, eu era\nbeijou a boca errada, lembrou da boca certa\nentrou numa gelada, lembrou da minha coberta\nsabe esse alguém perfeito que você tanto espera?\neu era, eu era\n"
Pikeno e Menor,Carimba Que é Top,"perfumada, tudo de bom\ne onde ela passa chama atenção e arrasa\nai, meu deus do céu\ntotalmente solteira e uma beleza exagerada\nse deus fez outra mais linda que você tá guardada\num sonho de consumo, hoje eu te levar embora\nsó deixa a minha mãe te batizar de nora\ntodo mundo comenta de tão bonita que é\naonde chega chama até atenção de mulher\nmatar papai não quer, cansou dessa brincadeira\ngata, desse jeito vai matar a família inteira\nperfumada, dispara qualquer ibope\ntudo de bom, pode carimbar que é top\ne onde ela passa chama atenção e arrasa\nai, meu deus do céu, vai ser gata assim lá em casa\nperfumada, dispara qualquer ibope\ntudo de bom, pode carimbar que é top\ne onde ela passa chama atenção e arrasa\nai, meu deus do céu, vai ser gata assim lá em casa\ntotalmente solteira e uma beleza exagerada\nse deus fez outra mais linda que você tá guardada\num sonho de consumo, hoje eu te levar embora\nsó deixa a minha mãe te batizar de nora\ntodo mundo comenta de tão bonita que é\naonde chega chama até atenção de mulher\nmatar papai não quer, cansou dessa brincadeira\ngata, desse jeito vai matar a família inteira\nperfumada, dispara qualquer ibope\ntudo de bom, pode carimbar que é top\ne onde ela passa chama atenção e arrasa\nai, meu deus do céu, vai ser gata assim lá em casa\nperfumada, dispara qualquer ibope\ntudo de bom, pode carimbar que é top\ne onde ela passa chama atenção e arrasa\nai, meu deus do céu, vai ser gata assim lá em casa\n"
Pikeno e Menor,A Vida Vai Trazer,"quem disse que eu tava querendo um outro alguém?\nmentiu e viu que foi você e não foi mais ninguém\nmas não vou mais te esperar, esse filme eu conheço\na vida vai trazer quem eu mereço\nagora eu vi o que fez mal pro coração\nfoi ter que esperar sua decisão de sim ou não\nte pedi pra ficar, você decidiu partir\na inveja alheia conseguiu nos destruir\ne tá difícil e sem chance de ombro amigo\ncansei, levantei, se eu quero eu posso, eu consigo\nsonhador...se levantou e hoje diz\ne quem perdeu que chore, eu vou atrás de ser feliz!\nquem disse que eu tava querendo um outro alguém?\nmentiu e viu que foi você e não foi mais ninguém\nmas não vou mais te esperar, esse filme eu conheço\na vida vai trazer quem eu mereço\nquem disse que eu tava querendo um outro alguém?\nmentiu e viu que foi você e não foi mais ninguém\nmas não vou mais te esperar, esse filme eu conheço\na vida vai trazer quem eu mereço\nagora eu vi o que fez mal pro coração\nfoi ter que esperar sua decisão de sim ou não\nte pedi pra ficar, você decidiu partir\na inveja alheia conseguiu nos destruir!\ne tá difícil e sem chance de ombro amigo\ncansei, levantei, se eu quero eu posso, eu consigo\nsonhador...se levantou e hoje diz\ne quem perdeu que chore, eu vou atrás de ser feliz!\nquem disse que eu tava querendo um outro alguém?\nmentiu e viu que foi você e não foi mais ninguém\nmas não vou mais te esperar, esse filme eu conheço\na vida vai trazer quem eu mereço\nquem disse que eu tava querendo um outro alguém?\nmentiu e viu que foi você e não foi mais ninguém\nmas não vou mais te esperar, esse filme eu conheço\na vida vai trazer quem eu mereço\na vida vai trazer quem eu mereço\na vida vai trazer quem eu mereço\n"
